benchmark,control,n_levels,baseline_runtime_s,baseline_board_J,verdict,best_dE_pct,worst_dt_pct,curve_pairs
babelstream,BOARD_POWER_LIMIT_CONTROL,8,11.5620011,36569.5,HARMFUL,-26.575424875921193,227.54081272315398,lit_5500W:dE=-0.4%/dt=+0.2% | lit_5000W:dE=-0.4%/dt=+0.4% | lit_4500W:dE=-0.2%/dt=+0.2% | lit_4000W:dE=-1.2%/dt=+0.5% | lit_3500W:dE=-16.0%/dt=+1.4% | lit_3000W:dE=-26.6%/dt=+41.1% | lit_2500W:dE=-3.5%/dt=+94.3% | lit_2000W:dE=61.4%/dt=+227.5%
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,2,11.606234675,36436.5,NEGLIGIBLE,-0.20172080194310604,0.03724834212865957,rb_half:dE=-0.2%/dt=+0.0% | rb_double:dE=-0.1%/dt=-0.2%
babelstream,CPU_FREQUENCY_MAX_CONTROL,7,11.583231125000001,36529.0,USEFUL_THRESHOLD,-42.174710503983135,0.3302867273141663,lit_1_0GHz:dE=-42.2%/dt=+0.3% | lit_1_2GHz:dE=-34.1%/dt=+0.0% | lit_1_6GHz:dE=-23.5%/dt=+0.1% | lit_2_0GHz:dE=-11.2%/dt=+0.1% | lit_2_5GHz:dE=-6.2%/dt=+0.3% | lit_3_0GHz:dE=-2.7%/dt=+0.3% | lit_3_5GHz:dE=-0.2%/dt=+0.1%
babelstream,CPU_POWER_LIMIT_CONTROL,8,11.585886290000001,36406.5,USEFUL_LINEAR,-13.269608449040692,0.21732182907516773,tdp_100:dE=-0.1%/dt=-0.2% | tdp_90:dE=0.1%/dt=+0.2% | tdp_80:dE=0.2%/dt=-0.0% | tdp_70:dE=-0.3%/dt=+0.1% | tdp_60:dE=-3.0%/dt=-0.1% | tdp_50:dE=-13.3%/dt=-0.2% | tdp_40:dE=?/dt=+0.0% | tdp_30:dE=?/dt=-0.4%
babelstream,CPU_POWER_TIME_WINDOW_CONTROL,2,11.586670615,36391.5,NEGLIGIBLE,-0.023357102620114034,0.13319421525646025,rb_half:dE=-0.0%/dt=+0.1% | rb_double:dE=0.1%/dt=-0.1%
babelstream,CPU_UNCORE_FREQUENCY_MAX_CONTROL,5,11.61573725,36352.5,USEFUL_THRESHOLD,-3.3766591018499437,-0.0014590980869533254,lit_0_8GHz:dE=-2.9%/dt=-0.7% | lit_1_2GHz:dE=-3.4%/dt=-0.1% | lit_1_6GHz:dE=-3.1%/dt=-0.0% | lit_2_0GHz:dE=-1.5%/dt=-0.3% | lit_2_3GHz:dE=-0.0%/dt=-0.2%
babelstream,DRAM_POWER_LIMIT_CONTROL,8,11.586369625,36543.0,NEGLIGIBLE,-0.3694277973893767,0.1650828570040508,rb_100:dE=-0.3%/dt=+0.1% | rb_90:dE=-0.1%/dt=+0.0% | rb_80:dE=-0.3%/dt=+0.0% | rb_70:dE=-0.4%/dt=-0.0% | rb_60:dE=-0.1%/dt=+0.1% | rb_50:dE=-0.3%/dt=-0.1% | rb_40:dE=-0.1%/dt=+0.0% | rb_30:dE=-0.3%/dt=+0.2%
babelstream,GPU_CORE_FREQUENCY_MAX_CONTROL,7,11.5971622,36398.5,HARMFUL,-2.2652032363971064,105.22297476360207,lit_0_4GHz:dE=53.9%/dt=+105.2% | lit_0_6GHz:dE=15.7%/dt=+36.9% | lit_0_8GHz:dE=0.2%/dt=+8.3% | lit_1_0GHz:dE=-2.3%/dt=+1.0% | lit_1_2GHz:dE=-0.3%/dt=-0.1% | lit_1_4GHz:dE=-0.2%/dt=-0.0% | lit_1_6GHz:dE=0.2%/dt=+0.1%
babelstream,GPU_POWER_TIME_WINDOW_CONTROL,2,11.589400905000002,36416.0,NEGLIGIBLE,-0.11945298769771018,0.1345281359045325,rb_half:dE=-0.1%/dt=+0.1% | rb_double:dE=0.1%/dt=+0.0%
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,7,11.57570216,36341.0,HARMFUL,-0.11282023059354662,7.125337051692071,lit_0_0:dE=1.7%/dt=+1.4% | lit_0_2:dE=0.3%/dt=+0.0% | lit_0_4:dE=-0.1%/dt=-0.3% | lit_0_5:dE=0.1%/dt=+0.4% | lit_0_6:dE=0.6%/dt=+1.0% | lit_0_8:dE=2.1%/dt=+2.3% | lit_1_0:dE=5.2%/dt=+7.1%
