benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
babelstream,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,34368,-42.5,+51.7,+9.1,+18.8,+9.7,+105.5,+105.2,-0.3,ok
babelstream,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,34368,-42.5,-2.3,-44.9,-43.6,+1.3,+1.3,+1.1,-0.2,ok
babelstream,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,34368,-42.5,+0.4,-42.2,-42.7,-0.5,+0.4,+0.2,-0.2,ok
babelstream,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,34368,-11.2,+51.7,+40.5,+49.1,+8.6,+105.4,+105.2,-0.1,ok
babelstream,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,34368,-11.2,-2.3,-13.5,-13.4,+0.1,+1.2,+0.7,-0.4,ok
babelstream,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,34368,-11.2,+0.4,-10.8,-11.8,-1.0,+0.2,+0.3,+0.0,ok
babelstream,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,34368,-0.3,+51.7,+51.4,+59.2,+7.8,+105.4,+105.7,+0.4,ok
babelstream,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,34368,-0.3,-2.3,-2.6,-2.7,-0.1,+1.2,+0.8,-0.4,ok
babelstream,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,34368,-0.3,+0.4,+0.1,-1.2,-1.3,+0.2,+0.0,-0.2,ok
babelstream,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,34368,-42.5,-3.7,-46.2,-40.3,+5.9,-0.4,-0.7,-0.2,ok
babelstream,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,34368,-42.5,-3.4,-46.0,-43.4,+2.5,+0.3,+0.1,-0.2,ok
babelstream,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,149,34368,-42.5,-0.2,-42.8,-43.1,-0.4,+0.1,+0.2,+0.1,ok
babelstream,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,135,34368,-11.2,-3.7,-14.9,-15.9,-1.0,-0.5,-0.5,+0.1,ok
babelstream,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,105,34368,-11.2,-3.4,-14.6,-14.4,+0.2,+0.1,+0.2,+0.1,ok
babelstream,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,94,34368,-11.2,-0.2,-11.4,-11.9,-0.5,-0.1,-0.1,-0.0,ok
