benchmark,combo_label,block,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
babelstream,A0_all_max,A_agent_arms,80,11.5998,34368.40,11.5996,34399.63,399.85
babelstream,A1_memory_bound_save,A_agent_arms,80,23.7242,42324.70,22.9284,41420.47,4914.87
babelstream,A2_gpu_compute_max,A_agent_arms,80,12.4613,31762.26,12.5716,31914.46,705.09
babelstream,A3_cpu_compute_uncore_save,A_agent_arms,80,23.9160,53561.55,23.8248,53591.86,1596.30
babelstream,A4_comm_wait_save,A_agent_arms,80,24.1281,42192.48,23.9255,42215.51,1370.97
babelstream,A5_comm_collective_safe,A_agent_arms,80,23.9735,56506.50,23.8575,56578.15,1560.95
babelstream,A6_bursty_gpu_idle,A_agent_arms,52,23.8449,46958.19,23.6948,46736.69,1444.36
babelstream,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,23.8050,40846.50,23.6764,40955.67,1757.38
babelstream,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,11.7242,19380.88,11.7051,19390.17,522.03
babelstream,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,11.6205,19702.79,11.6199,19723.92,481.76
babelstream,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,23.8078,51231.60,23.7344,51062.39,2268.20
babelstream,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,11.6821,29762.17,11.6759,29793.73,454.71
babelstream,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,11.6300,30303.74,11.6057,30307.01,351.44
babelstream,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,23.8652,54720.35,23.7639,54220.08,2457.42
babelstream,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,11.6909,33439.01,11.6860,33484.34,452.36
babelstream,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,11.6027,33941.27,11.6027,33995.91,366.24
babelstream,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,11.5237,20522.93,11.5160,20653.68,969.57
babelstream,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,11.6063,19445.90,11.6124,19448.82,551.16
babelstream,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,149,11.6228,19540.42,11.6181,19573.43,532.48
babelstream,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,135,11.5472,28911.15,11.5622,28924.58,462.90
babelstream,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,105,11.6286,29409.70,11.6302,29433.58,402.41
babelstream,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,94,11.5918,30263.92,11.6127,30290.45,357.87
babelstream,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,91,11.5301,32769.69,11.5626,32798.16,358.20
babelstream,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,11.6072,32838.29,11.6115,32856.73,340.96
babelstream,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,11.5888,33952.08,11.6162,34001.51,394.37
babelstream,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,23.8812,53674.64,23.7988,53875.85,1924.15
babelstream,D_gpu0.4_pf1,D_gpu_x_pf_corners,90,24.0240,52039.91,23.9254,52066.07,996.45
babelstream,D_gpu1.6_pf0,D_gpu_x_pf_corners,85,11.8829,35068.54,12.0993,35526.82,1278.77
babelstream,D_gpu1.6_pf1,D_gpu_x_pf_corners,76,12.4101,36157.11,12.5669,36378.39,818.10
babelstream,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,299,11.6245,19614.27,11.6157,19415.47,815.60
