benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
babelstream,BOARD_POWER_LIMIT_CONTROL,default,50,34.8392,116751.29,34.8478,116789.57,762.81
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,111.8694,195257.37,111.5422,197212.10,8019.78
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,62.8485,125904.18,63.4581,127293.08,4527.28
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,48.8010,115067.51,48.8737,115124.75,1080.37
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,35.2477,104906.26,35.2845,104958.85,1012.54
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,34.8077,115675.08,34.8240,115635.78,768.16
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,34.8249,116072.95,34.8493,115970.02,687.52
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,34.8022,115741.34,34.8327,115868.37,845.05
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,34.8969,116266.34,34.9540,116200.09,875.31
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,34.8421,115885.87,34.8436,115900.08,715.52
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,34.8784,115989.81,34.8884,116002.07,806.62
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,34.8305,115906.86,34.8879,116051.84,729.83
babelstream,CPU_FREQUENCY_MAX_CONTROL,default,50,34.8267,116007.62,34.8706,116016.71,844.67
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,34.8273,97175.92,34.8385,97225.27,876.11
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,34.8293,99902.12,34.8249,99865.11,805.89
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,34.8138,103597.34,34.8285,103683.24,752.88
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,34.8073,111550.17,34.8280,111616.10,768.97
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,34.7837,113486.71,34.8013,113446.81,796.95
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,34.8450,115004.49,34.8785,115022.32,780.44
