benchmark,knob,level,scaling_n,prod_n,scaling_dE_pct,prod_dE_pct,delta_dE_pct,scaling_dt_pct,prod_dt_pct,delta_dt_pct
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_2000W,60,50,+56.5,+68.5,+12.0,+227.5,+221.3,-6.3
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_2500W,60,50,-5.4,+8.7,+14.1,+94.3,+80.5,-13.8
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_3000W,60,50,-27.7,-0.7,+27.0,+41.1,+40.1,-1.0
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_3500W,60,50,-16.5,-9.5,+7.0,+1.4,+1.2,-0.2
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_4000W,60,50,-1.3,-0.2,+1.1,+0.5,-0.0,-0.6
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_4500W,60,50,-0.3,+0.2,+0.5,+0.2,+0.0,-0.2
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_5000W,60,50,-0.6,-0.1,+0.5,+0.4,-0.1,-0.5
babelstream,BOARD_POWER_LIMIT_CONTROL,lit_5500W,60,50,-0.6,+0.3,+0.9,+0.2,+0.2,+0.1
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-0.2,+0.1,+0.3,-0.2,+0.2,+0.3
babelstream,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,-0.2,+0.0,+0.2,+0.0,+0.0,-0.0
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,-42.5,-16.1,+26.4,+0.3,+0.0,-0.3
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-34.5,-13.8,+20.7,+0.0,+0.0,-0.0
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-23.9,-10.6,+13.3,+0.1,-0.0,-0.1
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,60,50,-11.2,-3.7,+7.4,+0.1,-0.0,-0.2
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,60,50,-6.1,-2.1,+4.1,+0.3,-0.1,-0.4
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,60,50,-2.8,-0.8,+2.0,+0.3,+0.1,-0.3
babelstream,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,60,50,-0.3,-0.1,+0.2,+0.1,-0.1,-0.2
babelstream,CPU_POWER_LIMIT_CONTROL,tdp_100,60,50,+0.1,-0.1,-0.1,-0.2,+0.0,+0.2
babelstream,CPU_POWER_LIMIT_CONTROL,tdp_30,60,50,-100.0,-61.5,+38.5,-0.4,+0.3,+0.7
babelstream,CPU_POWER_LIMIT_CONTROL,tdp_40,60,50,-100.0,-61.9,+38.1,+0.0,+0.2,+0.2
babelstream,CPU_POWER_LIMIT_CONTROL,tdp_50,60,50,-13.7,-7.2,+6.5,-0.2,+0.3,+0.5
babelstream,CPU_POWER_LIMIT_CONTROL,tdp_60,60,50,-3.2,-2.8,+0.5,-0.1,+0.1,+0.1
